INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../code/ISI_FLOAT_En.cpp in debug mode
ISI encode:15 in channel 26
ISI encode:14 in channel 27
ISI encode:15 in channel 28
ISI encode:15 in channel 29
ISI encode:14 in channel 30
ISI encode:14 in channel 31
ISI encode:15 in channel 32
ISI encode:6 in channel 33
ISI encode:15 in channel 34
ISI encode:15 in channel 35
ISI encode:15 in channel 36
ISI encode:14 in channel 37
ISI encode:15 in channel 38
ISI encode:3 in channel 39
ISI encode:14 in channel 40
ISI encode:14 in channel 41
ISI encode:15 in channel 42
ISI encode:14 in channel 43
ISI encode:5 in channel 44
ISI encode:14 in channel 45
ISI encode:15 in channel 46
ISI encode:15 in channel 47
ISI encode:14 in channel 48
ISI encode:4 in channel 49
ISI encode:14 in channel 50
ISI encode:14 in channel 51
ISI encode:9 in channel 52
ISI encode:14 in channel 53
ISI encode:15 in channel 54
ISI encode:15 in channel 55
ISI encode:14 in channel 56
ISI encode:14 in channel 57
ISI encode:15 in channel 58
ISI encode:14 in channel 59
ISI encode:15 in channel 60
ISI encode:15 in channel 61
ISI encode:14 in channel 62
ISI encode:15 in channel 63
ISI encode:14 in channel 64
ISI encode:14 in channel 65
ISI encode:15 in channel 66
ISI encode:15 in channel 67
ISI encode:14 in channel 68
ISI encode:15 in channel 69
ISI encode:3 in channel 70
ISI encode:15 in channel 71
ISI encode:15 in channel 72
ISI encode:15 in channel 73
ISI encode:14 in channel 74
ISI encode:6 in channel 75
ISI encode:14 in channel 76
ISI encode:15 in channel 77
ISI encode:14 in channel 78
ISI encode:15 in channel 79
ISI encode:15 in channel 80
ISI encode:15 in channel 81
ISI encode:14 in channel 82
ISI encode:15 in channel 83
ISI encode:14 in channel 84
ISI encode:14 in channel 85
ISI encode:15 in channel 86
ISI encode:5 in channel 87
ISI encode:15 in channel 88
ISI encode:15 in channel 89
ISI encode:7 in channel 90
ISI encode:15 in channel 91
ISI encode:14 in channel 92
ISI encode:15 in channel 93
ISI encode:14 in channel 94
ISI encode:14 in channel 95
ISI encode:14 in channel 96
Total size is 5
The 1 difference is 0
The 2 difference is 0
The 3 difference is 0
The 4 difference is 0
The 5 difference is 0
The 6 difference is 0
The 7 difference is 0
The 8 difference is 0
The 9 difference is 0
The 10 difference is 0
The 11 difference is 0
The 12 difference is 0
The 13 difference is 0
The 14 difference is 0
The 15 difference is 0
The 16 difference is 0
The 17 difference is 0
The 18 difference is 0
The 19 difference is 0
The 20 difference is 0
The 21 difference is 0
The 22 difference is 0
The 23 difference is 0
The 24 difference is 0
The 25 difference is 0
The 26 difference is 0
The 27 difference is 0
The 28 difference is 0
The 29 difference is 0
The 30 difference is 0
The 31 difference is 0
The 32 difference is 0
The 33 difference is 0
The 34 difference is 0
The 35 difference is 0
The 36 difference is 0
The 37 difference is 0
The 38 difference is 0
The 39 difference is 0
The 40 difference is 0
The 41 difference is 0
The 42 difference is 0
The 43 difference is 0
The 44 difference is 0
The 45 difference is 0
The 46 difference is 0
The 47 difference is 0
The 48 difference is 0
The 49 difference is 0
The 50 difference is 0
The 51 difference is 0
The 52 difference is 0
The 53 difference is 0
The 54 difference is 0
The 55 difference is 0
The 56 difference is 0
The 57 difference is 0
The 58 difference is 0
The 59 difference is 0
The 60 difference is 0
The 61 difference is 0
The 62 difference is 0
The 63 difference is 0
The 64 difference is 0
The 65 difference is 0
The 66 difference is 0
The 67 difference is 0
The 68 difference is 0
The 69 difference is 0
The 70 difference is 0
The 71 difference is 0
The 72 difference is 0
The 73 difference is 0
The 74 difference is 0
The 75 difference is 0
The 76 difference is 0
The 77 difference is 0
The 78 difference is 0
The 79 difference is 0
The 80 difference is 0
The 81 difference is 0
The 82 difference is 0
The 83 difference is 0
The 84 difference is 0
The 85 difference is 0
The 86 difference is 0
The 87 difference is 0
The 88 difference is 0
The 89 difference is 0
The 90 difference is 0
The 91 difference is 0
The 92 difference is 0
The 93 difference is 0
The 94 difference is 0
The 95 difference is 0
The 96 difference is 0
The 1 difference is 0
The 2 difference is 0
The 3 difference is 0
The 4 difference is 0
The 5 difference is 0
The 6 difference is 0
The 7 difference is 0
The 8 difference is 0
The 9 difference is 0
The 10 difference is 0
The 11 difference is 0
The 12 difference is 0
The 13 difference is 0
The 14 difference is 0
The 15 difference is 0
The 16 difference is 0
The 17 difference is 0
The 18 difference is 0
The 19 difference is 0
The 20 difference is 0
The 21 difference is 0
The 22 difference is 0
The 23 difference is 0
The 24 difference is 0
The 25 difference is 0
The 26 difference is 0
The 27 difference is 0
The 28 difference is 0
The 29 difference is 0
The 30 difference is 0
The 31 difference is 0
The 32 difference is 0
The 33 difference is 0
The 34 difference is 0
The 35 difference is 0
The 36 difference is 0
The 37 difference is 0
The 38 difference is 0
The 39 difference is 0
The 40 difference is 0
The 41 difference is 0
The 42 difference is 0
The 43 difference is 0
The 44 difference is 0
The 45 difference is 0
The 46 difference is 0
The 47 difference is 0
The 48 difference is 0
The 49 difference is 0
The 50 difference is 0
The 51 difference is 0
The 52 difference is 0
The 53 difference is 0
The 54 difference is 0
The 55 difference is 0
The 56 difference is 0
The 57 difference is 0
The 58 difference is 0
The 59 difference is 0
The 60 difference is 0
