0.020439,0.19824,;0.11284,0.16585,0.17793,;0.062627,0.090684,0.091422,0.1982,;0.19484,;0.14942,0.15434,0.17207,;0,;0.12079,;0,;0,;0,;0.082943,0.084704,0.11239,0.12345,;0,;0,;0,;0,;0.15671,;0,;0.080158,0.11702,0.12136,;0,;0,;0,;0.080158,;0,;0.17535,;0.075734,;0,;0.09179,0.09261,0.11415,0.15536,0.15597,0.19214,;0,;0,;0.19829,;0,;0.19824,;0,;0,;0,;0.17064,;0,;0.028385,0.16666,;0.13767,;0,;0,;0,;0,;0.032522,;0,;0.17793,;0,;0,;0.080117,0.12411,0.1894,;0.090725,0.094002,0.1101,0.11084,0.14192,0.14242,0.19886,;0.092732,0.095682,0.12984,;0.029819,0.069508,0.07086,0.071761,0.090603,0.14795,;0.096378,;0.096255,0.10408,0.11784,0.15733,;0.038051,0.080158,0.18776,;0.13783,;0.090644,;0.10482,0.19861,;0.13222,0.18018,;0.19075,0.1914,;0,;0.049889,0.050667,0.12972,0.13046,0.15978,0.17563,0.17629,0.17854,;0.09134,0.16449,;0.11071,0.12734,0.13787,0.18006,0.18063,0.19132,0.19202,;0.11084,0.17273,0.18276,0.18657,;0.087285,0.091831,;0.15221,;0.077209,0.19681,;0,;0.047677,;0.11035,0.11104,;0.15536,;0.022569,0.091668,0.096501,0.11063,0.14823,0.15057,;0.036864,0.053493,0.055132,0.093961,0.10809,0.11506,;0,;0.061849,0.11207,0.12783,;0.068607,0.096542,;0,;0,;0,;0.026992,0.030556,0.031498,0.063528,0.096296,0.09904,0.10002,0.12509,0.12808,;0,;0,;0,;0,;0.062627,;0.090357,0.12644,0.15798,;0,;0.092814,;0.18641,;0.090766,;0,;0,;0,;0.061316,0.065904,0.10035,0.1262,0.1477,0.17973,0.18551,;0,;
0,;0,;0,;2.2356,2.299,2.3966,;2.3956,2.3965,;0,;0,;0,;0,;2.2589,;0,;0,;0,;0,;0,;0,;2.2614,2.398,;2.268,2.367,;2.3865,;2.3979,;0,;0,;0,;0,;2.301,;0,;0,;0,;0,;2.2775,;0,;0,;0,;0,;0,;0,;2.3956,;0,;2.2139,2.2648,2.2658,2.3939,;0,;0,;0,;0,;0,;0,;2.2108,;0,;2.3422,;0,;0,;0,;2.2304,2.2454,;2.313,;0,;2.3143,;2.3383,2.392,;2.2387,2.3942,2.3983,;0,;2.3084,;0,;2.3296,;0,;0,;2.2037,2.2042,;2.3711,2.3719,;0,;0,;2.2248,;0,;0,;0,;2.3965,;2.3662,;2.2135,2.2552,2.3265,2.3589,2.3596,;2.3944,;2.3616,2.3926,2.3932,2.3936,2.3956,;2.3322,2.3331,;2.3445,;0,;0,;2.3007,2.3675,;2.3445,;2.3902,;2.3445,;2.3622,2.3955,;2.2066,2.3887,2.3931,2.3944,2.3955,;0,;2.3955,;0,;0,;2.3955,;0,;0,;0,;2.2058,2.3009,2.3017,2.3638,2.3963,2.3983,;2.2416,;
2.4307,;2.4689,;2.4129,2.4152,2.4192,;2.4185,2.457,2.4578,2.4826,2.515,2.5423,2.5431,;2.4128,2.4997,2.5132,2.5272,2.5868,;0,;2.4314,2.5463,2.5825,;0,;2.4468,;2.4225,;2.4817,2.5166,;2.4218,;0,;0,;0,;0,;0,;2.4048,;0,;2.4001,2.4028,;2.5332,2.5643,;0,;2.5809,;2.5176,;2.413,2.5506,;2.4051,2.5177,;2.4475,;0,;0,;0,;2.4598,2.4851,2.5009,;0,;2.5491,2.5697,;0,;2.5491,;2.4345,;0,;0,;2.4154,2.4196,;2.4345,;0,;0,;0,;2.4345,2.5123,;0,;2.4129,2.5671,;0,;0,;0,;2.5622,2.5848,;2.4826,;2.429,2.492,2.5802,2.59,2.5907,;2.5347,;0,;2.4217,;2.4461,2.469,2.5869,;0,;0,;0,;2.5868,;2.4169,2.4233,;2.4331,2.4339,2.5728,2.5736,;2.4776,2.5567,;2.4163,2.4168,2.4951,2.5099,2.5132,2.532,2.5768,;0,;2.4168,2.4596,;2.4951,;2.4129,2.491,;2.4205,;2.5975,;2.4677,2.4685,;0,;2.416,2.4202,2.5882,;0,;2.4171,;2.4137,2.4159,2.4355,2.4419,2.4486,2.4586,2.4695,2.4865,2.5015,2.5289,2.5342,2.5447,2.5713,;2.5267,2.5276,2.5479,2.5884,2.5887,2.5896,;0,;0,;0,;2.4004,2.4809,2.4818,2.515,2.5159,;0,;2.4808,;0,;2.5098,;0,;2.4218,;0,;0,;2.4013,2.5098,;0,;0,;2.4184,;0,;2.4103,2.4162,2.4674,2.4778,;0,;
2.6329,;2.6034,2.6044,;2.7119,;0,;0,;0,;2.7243,;0,;0,;0,;0,;2.793,;0,;0,;0,;0,;2.7653,;2.6212,;0,;0,;0,;0,;0,;0,;0,;0,;2.6181,;0,;0,;0,;0,;0,;2.7282,2.729,;2.7308,;0,;2.6277,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;2.7091,2.7577,;2.7054,;0,;0,;2.614,2.7594,;0,;0,;0,;2.6824,2.6986,;0,;0,;0,;0,;0,;0,;0,;0,;2.6985,;0,;2.6716,2.7863,;2.728,2.7793,;2.7207,;0,;2.7191,2.72,;2.7793,;2.6221,2.771,;2.7568,;0,;2.6389,;0,;2.6866,;0,;0,;0,;2.6866,;0,;2.6866,;0,;0,;0,;0,;0,;2.6632,2.7973,;2.6718,;0,;0,;0,;0,;0,;
0,;2.991,2.9919,;2.8251,2.9879,;2.9593,;0,;2.9303,;2.9887,;2.8021,2.8153,;0,;2.8462,;2.924,;0,;0,;2.8625,;2.8021,;0,;0,;2.9912,;0,;0,;0,;2.802,;2.802,;0,;2.9314,;0,;0,;0,;2.9526,2.9875,;0,;2.9526,;2.888,2.9293,2.9971,;0,;0,;2.8021,2.9526,;2.9526,;2.8881,2.9899,;0,;0,;0,;2.9899,;0,;0,;0,;2.8021,;0,;2.9477,;2.99,;0,;0,;0,;2.8102,2.8105,2.8919,2.8926,2.9216,2.9716,;0,;2.99,;0,;2.8371,2.9379,2.9566,2.9681,2.9901,;0,;2.9172,;0,;2.9219,2.9581,;0,;2.8534,2.8542,;2.9833,;0,;2.82,;0,;2.9799,2.991,;2.9172,;0,;0,;0,;0,;0,;2.8362,2.9181,;2.9874,;2.9451,2.9731,;2.9311,;0,;0,;0,;2.8304,2.8313,2.9916,2.9925,;0,;0,;0,;2.955,;0,;0,;2.9959,;0,;0,;2.8021,2.869,;0,;0,;0,;0,;2.9526,;
0,;0,;0,;0,;0,;3.0034,3.194,;0,;3.088,;3.0633,;3.0895,;0,;0,;0,;3.172,;3.1777,;0,;3.0879,;0,;0,;0,;3.121,;3.0087,3.0632,3.1946,;0,;3.0761,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;3.1792,;3.1636,;3.087,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;3.0879,;3.0153,3.0161,3.1167,3.1172,;0,;0,;0,;3.1108,3.1155,3.1165,;3.1385,;0,;0,;0,;0,;3.1259,3.1267,;3.0888,;0,;3.1801,;0,;3.066,3.0733,;3.0849,3.1558,;0,;3.0057,3.094,;3.0113,;3.1766,;0,;3.1792,;3.1848,;3.0503,;3.1235,;0,;0,;0,;0,;0,;0,;0,;0,;3.1792,;0,;0,;0,;0,;3.1549,;3.0224,3.0233,3.0429,3.1297,;0,;3.1747,;0,;3.0222,;
0,;3.2114,;3.2367,;3.2176,3.2456,;3.2367,;0,;0,;0,;0,;0,;3.2395,;3.212,;3.2367,;0,;0,;3.2121,;0,;0,;0,;0,;0,;0,;3.295,3.3766,3.3807,;3.2161,;0,;0,;0,;0,;0,;0,;3.2797,;0,;0,;0,;0,;3.2696,;3.2367,;0,;0,;0,;3.2368,;3.3718,;0,;3.2682,3.2773,3.3166,;0,;0,;3.3719,;0,;0,;0,;0,;3.211,3.2142,3.215,3.2303,;3.3995,;0,;0,;3.2735,3.274,;0,;0,;0,;3.2063,3.2705,3.2712,3.3106,3.3181,3.3346,;3.2465,;0,;3.2455,3.2458,;0,;0,;0,;3.2354,3.2512,;0,;0,;3.2947,;0,;3.3747,;0,;3.2167,3.3752,;3.314,3.3483,;3.3806,;3.2387,3.2773,;3.3219,;0,;3.226,3.2839,;0,;3.3219,;0,;3.3219,;3.3386,;0,;0,;0,;3.2367,;0,;3.3783,;0,;0,;0,;0,;3.2511,3.2517,;
3.5886,;3.5402,;0,;3.5151,;3.4824,;0,;0,;0,;0,;3.4734,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;3.4025,;0,;3.4697,;0,;0,;0,;0,;0,;3.5505,;3.4898,;0,;0,;0,;0,;3.4517,;0,;0,;3.4128,;3.5506,;0,;3.5887,;3.4544,3.5128,3.5676,;0,;0,;0,;0,;0,;3.4036,;0,;3.4004,3.4123,3.5369,3.5802,;0,;3.5658,;0,;3.407,;0,;0,;0,;3.4578,3.4689,3.4698,3.4714,3.5371,;0,;3.5147,3.5155,;0,;0,;0,;0,;0,;3.5641,;3.4101,;0,;3.511,3.5118,3.5126,;3.4123,;3.4054,;3.5071,;0,;3.5514,;0,;3.4006,;0,;3.4438,3.519,;3.4504,3.4847,;3.4006,3.4295,;0,;3.4006,;3.5111,3.5483,;0,;3.5117,3.5417,3.5652,;3.4591,;0,;0,;0,;0,;0,;0,;0,;3.4751,;
3.7756,;0,;0,;3.6339,;0,;3.7496,;0,;3.7811,;3.6164,;3.7882,3.7892,;3.7447,;0,;0,;3.6068,3.7566,;3.6068,;0,;3.608,3.6087,3.7481,3.7511,3.7798,;0,;0,;3.7794,;3.6696,;0,;0,;0,;0,;3.7457,3.7465,;3.7258,;0,;0,;3.7128,;0,;0,;3.748,3.7518,3.7769,;3.6437,;0,;0,;0,;0,;3.6373,3.6574,3.6714,3.7102,3.7455,3.7911,;0,;0,;3.7505,;0,;3.6088,3.6096,3.6392,3.6418,3.7247,;3.6714,;3.7739,3.7757,;0,;0,;0,;3.6375,;3.7829,;3.6706,3.7007,3.7027,;3.7755,3.7769,;3.6848,;3.748,;0,;3.6004,;0,;0,;3.7469,;3.6086,;3.7793,;0,;3.7834,;3.6243,3.7099,;3.754,;3.6695,3.782,;3.6859,3.7183,3.7739,3.7746,3.775,3.7772,3.7778,3.7818,3.7843,3.7911,;0,;3.6973,3.7272,;0,;0,;3.663,3.748,3.7523,;3.787,;0,;3.6835,;0,;0,;0,;3.6135,3.6565,3.6657,;3.6032,3.7022,3.7452,;0,;3.7152,3.7184,3.7977,3.7984,;0,;3.7185,;0,;0,;0,;0,;3.7792,;3.6518,3.6707,3.7443,3.7449,3.7478,;3.6678,;3.686,;0,;3.774,3.7793,3.7879,;3.652,3.7791,;
3.8551,;3.8597,3.9284,3.9293,;3.8,3.8054,3.8065,3.8942,3.9347,3.9882,;3.8083,3.8093,3.871,;3.8285,3.8493,3.8751,3.8818,3.8847,;3.9396,;3.8828,3.9148,;3.9877,;3.9341,3.9433,3.9849,;3.8551,;3.8,3.8428,3.8437,3.8827,3.9182,3.9283,3.9432,;3.8772,;3.8802,;0,;3.8588,;3.8065,3.9332,;0,;3.8002,;3.8493,;3.994,;3.8855,;0,;0,;0,;0,;3.8794,3.9427,3.9515,;3.8062,;0,;0,;0,;3.916,;0,;3.8213,3.8505,;0,;0,;0,;0,;3.9929,;0,;0,;3.8381,3.9161,;0,;3.8065,;3.9067,3.9532,3.9993,;3.9148,3.9786,;0,;0,;3.916,;3.8034,3.8076,3.8383,3.9285,3.9998,;3.8731,3.8735,3.8899,3.915,;3.8747,;3.9149,;3.8251,3.8746,;3.8436,3.8586,3.9261,;3.8251,3.9148,;3.8275,;3.9079,;0,;3.9148,3.9516,;3.8624,3.8812,;0,;3.8184,3.8191,3.8568,3.8574,3.9538,3.9656,;0,;3.8085,3.8419,3.852,3.8712,3.8725,3.8882,3.9096,3.9148,3.9293,3.9716,3.9991,;3.9111,3.9118,;3.8382,3.8394,3.8737,3.9148,3.9381,3.9421,;0,;3.8031,3.8038,3.8435,3.8458,3.8466,3.8684,3.869,3.8768,3.8898,3.9231,;3.8382,3.9455,;0,;0,;3.852,3.9041,3.9622,;3.8042,3.8776,;3.9455,;3.926,;3.8044,3.8348,3.8357,3.8568,3.8976,3.9826,;3.8423,;3.8169,3.977,;0,;3.8489,3.8912,3.9581,;3.8264,3.8446,;3.977,;3.8346,;3.8169,3.977,;0,;0,;0,;0,;0,;3.9135,3.9469,;3.8434,3.9333,3.9702,3.9711,;3.9168,;3.8933,3.9112,;3.8975,;3.802,3.8507,3.8772,3.9476,;0,;
0,;4.1026,4.1091,;4.1353,;0,;4.0358,4.0367,4.0683,4.1871,;4.1353,;4.1352,;0,;4.0042,4.153,;0,;4.0248,4.0871,4.0879,;0,;0,;4.1209,;4.1509,;0,;4.1318,4.1631,;0,;4.1352,;0,;0,;0,;0,;0,;4.1241,;0,;0,;0,;4.012,;0,;4.134,4.1827,;4.1602,;0,;4.1241,;0,;0,;0,;0,;4.0059,4.1374,;0,;0,;4.1489,4.1546,;0,;4.1977,;4.1601,;4.056,;0,;4.0119,;4.0677,;0,;4.0246,4.136,;4.1478,4.1644,;0,;4.0749,4.1573,;0,;4.1623,4.1855,;0,;4.1843,;0,;4.0268,4.0277,4.1353,;4.1241,;4.0031,;0,;4.106,4.1815,;4.0105,;4.0365,4.0658,4.0872,;4.0147,4.1593,;4.0076,4.0281,4.0421,4.0457,4.0747,4.1041,4.1329,4.167,;4.0637,4.1241,;0,;0,;4.106,4.1151,;0,;0,;4.0523,;4.0276,4.101,4.1591,;4.1595,4.1603,;0,;0,;0,;4.0755,4.0764,4.1893,4.1902,;0,;0,;0,;4.0331,4.1342,;0,;0,;4.1601,;0,;0,;0,;4.1241,;4.0235,4.188,;0,;4.0919,;4.1999,;
