1,1,1,1,1,1.0859,0.19546,1,0.065617,1,0.42786,1,0.3108,0.20218,1,1,1,0.95567,0.18702,0.079462,1,1,1,1,0.033095,1,1,0.43917,1,1,1,0.89448,0.014498,1,1,1,1,1.0111,0.021739,0.093749,0.036331,0.13525,1,0.08495,1,1,0.5525,1,1,0.63999
1,0.11104,0.020603,0.20001,0.051773,0.16642,0.086056,0.15571,0.15738,1,1,1,0.72376,0.13032,0.37447,1,0.2195,0.32882,1,0.066596,0.16772,0.1486,1,0.3406,0.1645,0.034382,0.30875,1,0.37154,0.23609,0.22597,0.071761,0.047104,0.059654,0.022281,0.026829,1,0.036208,0.062013,0.04064,0.080854,0.10027,0.041697,0.32649,0.050094,0.056197,0.058572,0.084337,0.1239,1
1,0.20615,1,1,0.60714,0.27254,0.03715,1,0.38871,0.17781,1,1,0.44663,0.29274,0.16281,1,0.24887,1,1,0.053493,0.14709,0.13377,1,1,0.12941,0.20435,0.17916,1,1,1,1,0.060047,0.03203,0.045137,0.037847,1,0.07426,0.037355,0.071311,0.072048,0.17789,0.21094,0.28827,1,1,1,1,1,1.1326,0.15847
1,1,1,1,0.99786,0.027975,0.055214,0.15569,0.17154,1,1,0.097648,0.026401,1,0.41615,1,0.027975,0.26947,0.11882,0.061685,1,1,1,1,0.075865,1,1,0.48893,1,1,1,0.031141,0.01962,0.052551,0.065535,1,1,0.63951,0.061276,1,1,0.54268,1,0.40455,1,0.43958,1,0.33825,1,0.17568
1,1,1,0.78905,0.051036,0.2227,0.074628,1,1,1,1,1.0342,0.059596,1,1,1,0.64986,0.24568,1,0.30319,0.11874,0.084868,1,0.31781,0.033423,0.055091,0.072457,1,1,1,1,0.014863,0.031151,0.093152,0.11297,1,1,0.56098,0.057789,0.073513,0.086911,0.033464,0.16392,1,1,1,0.69,0.046858,0.025313,0.24772
1,1,0.43401,1,1,0.59146,1,1,1,1,1,1,1,1,1.9048,0.19067,1,1,0.55553,0.19001,0.1957,1,1,0.65204,0.087613,1,1,1,0.58981,1,1,1,1,1.005,0.27784,1,1,0.54448,0.079052,0.045219,1,0.13484,1,0.34848,0.25305,1,1,0.57581,1,1
1,0.25097,0.18702,1,0.52842,1,0.2952,0.1187,1,0.59801,0.1912,1,0.036167,0.1418,0.26443,1,1,1,1,0.03203,0.22044,1,1,1,0.070655,0.026665,1,1,1,0.78724,1,0.046981,0.066109,0.029327,0.049315,1,0.41742,0.18088,1,0.086176,1,0.095313,1,0.27902,0.23744,1,1,1,0.097804,0.03801
1,1,1,0.79793,0.10367,1,0.39252,1,0.40849,1,1,1,1,1,1.0647,0.27267,1,1,0.69308,0.2066,1,1,1,0.72118,0.28524,0.09897,0.097525,0.2213,1,1,1,0.87481,1,0.0623,1,1,1,1,0.077659,0.099573,0.06565,1,1,1,0.065576,0.19243,0.31264,1,0.037806,0.13413
1,0.02481,0.22618,1,1,1,1,0.036782,1,1,0.53108,1,0.3627,1,1,0.61644,1,1,0.55312,0.041533,0.14877,0.053575,1,1,0.65268,1,1,0.64319,1,0.27394,1,1,1,0.8146,0.036864,1,1,1,0.054968,0.024494,0.030884,0.205,0.20832,0.28532,1,1,1,1,1,1.1461
1,1,1,0.78667,0.085442,1,1,1,1,1,1,1.2944,0.16355,1,0.42373,0.2433,1,0.38391,0.30491,0.065904,1,0.036864,0.079339,0.3263,0.064947,1,1,1,1,1.0473,0.089579,1,0.030965,1,0.45154,0.11239,0.054312,0.10903,1,0.071311,0.030187,0.045265,0.15106,1,0.36921,0.075898,0.21575,1,0.49422,0.13001
