0.17781,0.050968,0.10678,0.19484,0.13952,1,0.12079,1,1,1,0.026478,1,1,1,1,0.15671,1,0.035576,1,1,1,0.080158,1,0.17535,0.075734,1,0.036167,1,1,0.19829,1,0.19824,1,1,1,0.17064,1,0.13828,0.13767,1,1,1,1,0.032522,1,0.17793,1,1,0.06529,0.056442,0.03416,0.057343,0.096378,0.039485,0.1076,0.13783,0.090644,0.093797,0.047964,0.18477,1,0.014786,0.073154,0.037993,0.057659,0.084415,0.15221,0.1196,1,0.047677,0.10688,0.15536,0.036353,0.035795,1,0.048154,0.027934,1,1,1,0.02419,1,1,1,1,0.062627,0.031539,1,0.092814,0.18641,0.090766,1,1,1,0.030849,1,
1,0.11104,0.1032,1,1,1,0.13396,1,0.02481,1,1,0.027197,1,0.34967,1,0.10596,0.32542,1,1,1,0.36831,1,1,1,1,0.033669,0.047677,1,1,1,1,0.05849,1,1,1,1,0.27218,1,0.07598,1,1,1,1,1,1,1,1,1,0.03285,0.084786,1,0.21495,1,0.18379,1,0.14184,1,0.087009,1,0.093797,1,1,1,0.023795,0.051205,0.028016,0.16187,1,1,1,0.16915,0.12468,0.053565,1,1,0.037027,0.11363,0.30175,0.30068,1,0.13948,0.30175,1,0.30175,1,1,1,1,0.1896,1,1,0.034979,0.095518,1,0.034246,0.23904,
1,0.020603,1,1,1,0.43401,0.18702,1,0.22618,1,1,1,0.46055,1,1,0.045178,0.26132,1,1,0.44343,1,0.40484,1,1,0.3173,1,0.03521,0.47742,0.064307,1,1,0.21651,1,1,1,1,0.033996,0.37331,1,1,1,1,1,1,1,0.29528,1,1,1,0.13128,1,0.20777,1,1,1,0.067133,0.5088,1,1,1,0.53882,0.051937,0.40448,0.071229,0.10379,0.022528,1,0.22085,1,0.091258,0.2911,0.12007,0.20177,0.29551,1,0.15868,1,1,1,1,0.055206,1,0.47312,1,1,1,0.24527,0.4261,1,0.32325,1,1,0.2082,0.4259,0.062109,0.23089,
1,0.20001,1,1,0.61697,1,1,0.79793,1,0.78667,1,1,1,1,1,1,1,1,1,1,0.27721,1,1,0.46653,0.32333,1,1,1,1,1,1,0.27812,1,1,1,1,0.28139,1,0.5002,1,1,0.14897,1,1,1,1,1,1,1,0.29362,0.62332,0.19472,1,1,1,1,1,1,1,0.45744,1,1,1,0.33116,1,1,0.030761,1,1,0.14926,1,1,1,1,0.79961,0.37204,0.39563,1,1,0.65797,0.074393,1,1,1,0.12546,1,0.25477,1,0.43916,0.28442,1,1,0.20513,1,1,1,
1,0.051773,0.60714,0.80301,0.051036,1,0.52842,0.10367,1,0.085442,0.72269,0.49471,0.11768,1,0.89509,0.052428,1,1,0.032809,1,0.028057,1,1,1,0.083366,1,0.034037,1,1,1,0.96112,1,0.053445,1,1,1,0.11075,1,0.026223,0.89284,0.88165,1,0.96103,0.80875,0.83218,1,1,0.12939,0.035676,0.13881,0.11551,0.078233,1,1,1,0.4755,0.33869,1,0.71409,1,1,0.25599,1,0.10695,0.54562,1,1,1,1,0.024985,1,1,1,0.40382,0.048578,0.13256,0.20517,0.64783,1,1,1,0.64783,1,0.64783,0.17412,1,0.21487,1,1,0.056565,1,0.56975,1,0.40611,0.41377,0.43787,
0.88763,0.16642,0.27254,0.027975,0.2227,0.59146,1,1,1,1,0.033792,0.19534,1,1,0.25387,1,1,1,0.21213,1,0.060497,1,1,0.44392,1,1,0.32698,0.60837,0.43229,0.88755,0.064388,0.033587,1,1,1,1,1,1,0.098958,1,1,1,0.06447,1,1,1,1.0858,0.072949,1,0.20246,1,0.098414,1,1,0.99941,1,0.21491,1,0.24984,1,0.62021,0.27666,1,1,1,1,0.089712,1,1,0.21713,0.076349,1,1,0.3204,0.14405,0.12169,0.1305,1,1,1,0.058733,1,1,1,1,1,1,1,1,0.31602,1.0346,1,1,1,1,1,
0.19546,0.086056,0.03715,0.055214,0.074628,1,0.2952,0.39252,1,1,0.17133,1,0.29915,1,1,1,1,0.059965,0.062709,1,0.070614,0.76365,1.2049,1,1,0.05346,0.036037,0.25637,0.22319,0.12722,0.032235,1,0.40906,1.2164,1.2165,1,0.3747,0.72007,0.11391,0.041082,1,0.5328,1,0.0299,1,0.90218,0.13062,1,0.062504,0.045178,0.087367,0.12465,1,0.98332,1,0.11501,0.0922,1.118,1,0.04866,0.12714,0.037806,0.78053,0.018022,0.34271,0.64605,0.13201,0.86579,1,0.12276,1,0.89939,0.86158,0.064061,0.11411,1,0.10432,1,1,0.64388,0.24607,1,1,1,1,1.1539,0.45755,1,0.083721,0.17793,1,0.40616,0.42094,0.42725,0.031293,0.45215,
1,0.15571,1,0.15569,1,1,0.1187,1,0.036782,1,1,1,1,1,0.29237,1,1.0029,1,0.078151,0.034611,0.13705,1,1,1,0.58706,1,0.073932,1,1,0.06914,1,1,1,1,1,1,0.17817,1,1,1,1,1,0.51466,0.06616,1,0.16478,0.32374,1,0.041697,0.17337,1,0.085646,1,0.031662,0.38666,0.075816,0.1928,1,1,0.14795,1,1,1,0.053411,1,1,0.25477,0.03029,1,1,0.45443,0.1454,1,0.089906,0.22642,0.22196,1,1,1.1565,0.10527,0.073244,1,1.0798,1,0.57995,1,0.05278,1.0903,0.22049,1,1,1,0.057548,1,1,1,
0.065617,0.15738,0.38871,0.17154,1,1,1,0.40849,1,1,0.36708,1,1,1,0.29565,0.73785,1,0.27009,1,1,1,1,1,1,1,1,1,1,1,0.2347,1,1,1,0.4757,1,1.6197,1,1,0.49737,0.52903,1,1,0.046284,0.10293,1,1,1,0.637,1,0.3047,0.27762,0.057384,1,1,1,1,1,1,0.042885,1,1,0.27571,0.074424,0.1436,1,0.36319,1,1,1,0.03416,1,0.038256,1,1,1,1,1,1,1,1,0.057383,1,0.23736,1,1,1,1,1,1,1,1,1,0.15364,1,1,0.25968,
1,1,0.17781,1,1,1,0.59801,1,1,1,1,1,1,1,0.072785,1,1,0.34824,0.38301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048414,0.14635,1,0.63733,1,1,1,0.35713,1,1,1,0.065658,1,1,1,1,1,1,1,1,1,1,0.64417,0.1982,1,0.17658,1,1,1,0.38793,1,1,0.31539,1,1,1,1,1,1,1,1,1,0.23134,1,1,1,1,0.74444,1,1,1,1,1,1,1,1,0.55635,1,
